g_number,g_price,g_details,g_picture,g_color,g_size,g_brand
100048017638,1799.00,商品名称：真我GT Neo5 SE&商品编号：100048017638&商品毛重：0.581kg&商品产地：中国大陆&CPU型号：骁龙7+ Gen2&运行内存：8GB&机身颜色：极影黑&三防标准：生活防水&屏幕分辨率：FHD+&充电功率：80-119W&泰尔电竞评级：电竞手机&机身色系：黑色系&屏幕材质：OLED直屏&机身内存：256GB&风格：国潮风，朋克，大气&,http://img13.360buyimg.com/n1/s450x450_jfs/t1/192380/27/34299/44932/642a6ab6Fe3ada58b/b7d82d20ab47c006.jpg,极影黑,8GB+256GB,真我（realme）
100048172437,1719.00,商品名称：vivoiQOO Neo7 SE&商品编号：100048172437&商品毛重：0.56kg&商品产地：中国大陆&CPU型号：天玑8200&运行内存：8GB&机身颜色：星际黑&三防标准：不支持防水&充电功率：120-150W&屏幕材质：OLED直屏&后摄主像素：6400万像素&机身内存：256GB&屏幕分辨率：FHD+&泰尔电竞评级：电竞手机&机身色系：黑色系&风格：科技，时尚，商务&,http://img12.360buyimg.com/n1/s450x450_jfs/t1/146246/18/36403/43706/645de354Fbd25e595/ebe479609832dffe.jpg,星际黑,8GB+256GB,vivo
100040195622,4399.00,商品名称：一加11&商品编号：100040195622&商品毛重：0.57kg&商品产地：中国大陆&CPU型号：骁龙8 Gen2&运行内存：16GB&机身颜色：一瞬青&三防标准：IPX4&充电功率：80-119W&支持IPv6：支持IPv6&屏幕材质：OLED曲面屏&后摄主像素：5000万像素&机身内存：256GB&屏幕分辨率：QHD+及以上&泰尔电竞评级：电竞手机&风格：科技，时尚，轻奢&特征特质：屏幕指纹，屏幕高刷新率，NFC，5G&机身色系：青色系&,http://img12.360buyimg.com/n1/s450x450_jfs/t1/107479/2/34477/63658/645de75bF28647a9d/cb10f30da67df50c.jpg,一瞬青,16GB+256GB,一加
100038222779,1399.00,商品名称：荣耀荣耀X40&商品编号：100038222779&商品毛重：435.00g&商品产地：中国大陆&CPU型号：骁龙600系列&运行内存：6GB&机身颜色：彩云追月&三防标准：不支持防水&屏幕分辨率：FHD+&充电功率：26-49W&机身内存：128GB&机身色系：银色系&屏幕材质：OLED曲面屏&后摄主像素：5000万像素&风格：简约风，时尚&,http://img14.360buyimg.com/n1/s450x450_jfs/t1/209034/5/23949/33829/632433acE9c335eef/20f43ae20c8f2a38.jpg,彩云追月,6GB+128GB,荣耀（HONOR）
100054574041,6999.00,商品名称：OPPOFind X6 Pro&商品编号：100054574041&商品毛重：0.603kg&商品产地：中国大陆&CPU型号：骁龙8 Gen2&运行内存：16GB&机身颜色：大漠银月&三防标准：IP68&充电功率：80-119W&支持IPv6：支持IPv6&屏幕材质：OLED曲面屏&后摄主像素：5000万像素&机身内存：512GB&屏幕分辨率：QHD+及以上&风格：简约风，科技，时尚&机身色系：混合色系&特征特质：LTPO屏幕，E6材质，屏幕指纹，屏幕高刷新率，光学防抖拍照，高倍率变焦，潜望式长焦，防水防尘，无线充电，NFC，5G，红外遥控&,http://img11.360buyimg.com/n1/s450x450_jfs/t1/112245/9/37245/62318/645f6c44Fa4b3bc3a/061d2f904ba294b7.jpg,大漠银月,16GB+512GB,OPPO
100037397263,1599.00,商品名称：华为nova 10z&商品编号：100037397263&商品毛重：440.00g&商品产地：中国大陆&CPU型号：未公布&运行内存：8GB&机身颜色：幻夜黑&三防标准：不支持防水&屏幕分辨率：FHD+&充电功率：26-49W&机身内存：256GB&机身色系：纯色&屏幕材质：LCD&后摄主像素：6400万像素&风格：大气，轻奢，时尚&,http://img13.360buyimg.com/n1/s450x450_jfs/t1/189070/8/33951/77586/6423de17Feb1b2aab/cde766a437129f95.jpg,幻夜黑,256GB,华为（HUAWEI）
100026667910,4799.00,商品名称：AppleiPhone 13&商品编号：100026667910&商品毛重：319.00g&商品产地：中国大陆&CPU型号：A15&运行内存：未公布&机身颜色：星光色&三防标准：IP68&屏幕分辨率：FHD+&充电功率：以官网信息为准&机身内存：128GB&机身色系：白色系&屏幕材质：OLED直屏&后摄主像素：1200万像素&风格：苹果风，商务，科技&,http://img10.360buyimg.com/n1/s450x450_jfs/t1/118083/17/35633/35124/645efbc4Ff10b8059/4cfd9d73e8b2e17f.jpg,星光色,128GB,Apple
100054698559,3399.00,商品名称：魅族20&商品编号：100054698559&商品毛重：0.645kg&商品产地：中国大陆&CPU型号：骁龙8 Gen2&运行内存：12GB&机身颜色：先锋灰&三防标准：生活防水&屏幕分辨率：FHD+&充电功率：50-79W&机身内存：256GB&风格：科技&屏幕材质：OLED直屏&后摄主像素：5000万像素&机身色系：灰色系&,http://img14.360buyimg.com/n1/s450x450_jfs/t1/427/30/21488/56707/645b81c4Fdd874276/9fde7a3cfb10a779.jpg,先锋灰,12GB+256GB,魅族（MEIZU）
100043016388,3499.00,商品名称：真我GT Neo5 240W&商品编号：100043016388&商品毛重：0.645kg&商品产地：中国大陆&CPU型号：骁龙8+ Gen 1&运行内存：16GB&机身颜色：圣境白&三防标准：生活防水&充电功率：240W&屏幕材质：OLED直屏&后摄主像素：5000万像素&机身内存：1TB&屏幕分辨率：FHD+&泰尔电竞评级：电竞手机&机身色系：白色系&风格：科技，朋克，大气&,http://img13.360buyimg.com/n1/s450x450_jfs/t1/87579/8/37309/43907/645de1fbF4a68f27a/12b3d915dfcfec0a.jpg,圣境白,16GB+1TB,真我（realme）
100037311057,1299.00,商品名称：OPPOK10x &商品编号：100037311057&商品毛重：0.56kg&商品产地：中国大陆&CPU型号：骁龙600系列&运行内存：8GB&机身颜色：极光&三防标准：IPX4&屏幕分辨率：FHD+&充电功率：50-79W&机身内存：128GB&风格：时尚，简约风&屏幕材质：LCD&后摄主像素：6400万像素&机身色系：混合色系&,http://img12.360buyimg.com/n1/s450x450_jfs/t1/137103/7/32043/51883/645ded6eFc6743acc/ba42a1aa11b62779.jpg,极光,8GB+128GB,OPPO
100047139684,1299.00,商品名称：华为畅享60&商品编号：100047139684&商品毛重：438.00g&商品产地：中国大陆&CPU型号：未公布&运行内存：8GB&机身颜色：幻夜黑&三防标准：生活防水&屏幕分辨率：HD+&充电功率：25W及以下&机身内存：128GB&风格：简约风，商务，时尚&屏幕材质：LCD&后摄主像素：4800万像素&机身色系：混合色系&,http://img14.360buyimg.com/n1/s450x450_jfs/t1/145976/27/37388/44659/6442629cF0d8f1c3a/d63370be43d27abe.jpg,幻夜黑,8G+128G,华为（HUAWEI）
100041367872,669.00,商品名称：小米Redmi 12C&商品编号：100041367872&商品毛重：375.00g&商品产地：中国大陆&CPU型号：MTK G系列&运行内存：4GB及以下&机身颜色：黑色&三防标准：未上市&屏幕分辨率：HD+&充电功率：25W及以下&机身内存：64GB及以下&机身色系：黑色系&屏幕材质：LCD&后摄主像素：5000万像素&风格：时尚，简约风，大气&,http://img12.360buyimg.com/n1/s450x450_jfs/t1/179910/10/36039/54100/645852afFd051e91b/6f194be529abc6f9.jpg,暗影黑,4GB+64GB,小米（MI）
100049486743,4599.00,商品名称：小米小米13&商品编号：100049486743&商品毛重：0.545kg&商品产地：中国大陆&CPU型号：骁龙8 Gen2&运行内存：12GB&机身颜色：黑色&三防标准：IP68&屏幕分辨率：FHD+&充电功率：50-79W&机身内存：256GB&机身色系：黑色系&屏幕材质：OLED直屏&后摄主像素：5000万像素&风格：简约风，时尚，科技&,http://img13.360buyimg.com/n1/s450x450_jfs/t1/111929/28/37899/34782/645a0376F64f9f383/33741181272460e9.jpg,黑色,12GB+256GB,小米（MI）
100045503730,1799.00,商品名称：vivoiQOO Z7&商品编号：100045503730&商品毛重：0.505kg&商品产地：中国大陆&CPU型号：骁龙782G&运行内存：8GB&机身颜色：原子蓝&三防标准：不支持防水&屏幕分辨率：FHD+&充电功率：120-150W&机身内存：256GB&风格：时尚，科技&屏幕材质：LCD&后摄主像素：6400万像素&机身色系：蓝色系&,http://img10.360buyimg.com/n1/s450x450_jfs/t1/115281/6/32985/58597/645ddbfaFe40baaac/0090f38a0268652c.jpg,原子蓝,8GB+256GB,vivo
100054651297,4988.00,商品名称：华为P60&商品编号：100054651297&商品毛重：0.54kg&商品产地：中国大陆&CPU型号：骁龙8系列 4G&运行内存：8GB&机身颜色：黑色&三防标准：IP68&屏幕分辨率：FHD+&充电功率：50-79W&机身内存：256GB&机身色系：黑色系&屏幕材质：OLED曲面屏&后摄主像素：4800万像素&风格：商务，炫彩，大气&,http://img12.360buyimg.com/n1/s450x450_jfs/t1/130116/39/35832/57856/64479d83Fb3213944/2b9a86f6cb6d986f.jpg,羽砂黑,256GB,华为（HUAWEI）
10070940557439,899.00,商品名称：拍度（pdbq）13 mini&商品编号：10070940557439&商品毛重：1.0kg&CPU型号：紫光展锐&运行内存：8GB&机身颜色：月影黑&三防标准：不支持防水&充电功率：25W及以下&支持IPv6：支持IPv6&屏幕材质：LCD&后摄主像素：1300万像素&机身内存：256GB&屏幕分辨率：HD+&机身色系：黑色系&风格：时尚，苹果风，轻奢&,http://img14.360buyimg.com/n1/s450x450_jfs/t1/216847/35/27735/40640/64391a3dF799ad385/3607bcb7ceeede10.jpg,幻影黑,【8GB+256GB】,拍度（pdbq）
100023150135,1299.00,商品名称：小米Redmi Note 11T Pro&商品编号：100023150135&商品毛重：0.535kg&商品产地：中国大陆&CPU型号：天玑8100&运行内存：6GB&机身颜色：蓝色&三防标准：生活防水&屏幕分辨率：FHD+&充电功率：50-79W&机身内存：128GB&风格：科技，大气，商务&屏幕材质：LCD&后摄主像素：6400万像素&机身色系：深蓝色系&,http://img10.360buyimg.com/n1/s450x450_jfs/t1/141256/39/30821/59324/6454626bFee0ca0c5/2e62b3d14cc66e54.jpg,时光蓝,6GB+128GB,小米（MI）
100047126813,3799.00,商品名称：OPPOReno9 Pro&商品编号：100047126813&商品毛重：500.00g&商品产地：中国大陆&CPU型号：天玑8100-MAX&运行内存：16GB&机身颜色：微醺&三防标准：IPX4&屏幕分辨率：FHD+&充电功率：50-79W&机身内存：512GB&风格：简约风，时尚，科技&屏幕材质：OLED曲面屏&后摄主像素：5000万像素&机身色系：混合色系&,http://img13.360buyimg.com/n1/s450x450_jfs/t1/174131/2/37906/52051/645e0998F19e9f33d/e5d49750cb0e6bff.jpg,微醺,16GB+512GB,OPPO
100045099822,3999.00,商品名称：荣耀荣耀手机&商品编号：100045099822&商品毛重：0.54kg&商品产地：中国大陆&CPU型号：骁龙8 Gen2&运行内存：8GB&机身颜色：亮黑色&三防标准：生活防水&充电功率：50-79W&支持IPv6：支持IPv6&屏幕材质：OLED曲面屏&后摄主像素：5400万像素&机身内存：256GB&屏幕分辨率：FHD+&风格：科技，轻奢，商务&特征特质：屏幕指纹，屏幕高刷新率，高倍率变焦，5G，NFC，红外遥控，VC散热，大底主摄&机身色系：黑色系&,http://img12.360buyimg.com/n1/s450x450_jfs/t1/176339/29/37563/54783/645df38dF95c98478/06b865231ac281e5.jpg,亮黑色,8GB+256GB,荣耀（HONOR）
100038004363,6199.00,商品名称：AppleiPhone 14 Plus&商品编号：100038004363&商品毛重：380.00g&商品产地：中国大陆&CPU型号：A15&运行内存：未公布&机身颜色：紫色&三防标准：IP68&屏幕分辨率：FHD+&充电功率：以官网信息为准&机身内存：128GB&机身色系：紫色系&屏幕材质：OLED直屏&后摄主像素：1200万像素&风格：苹果风，商务，科技&,http://img13.360buyimg.com/n1/s450x450_jfs/t1/178372/8/26756/20997/631929f9E81224d7f/1fd4b7df8f4ae6cd.jpg,紫色,128GB,Apple
100039740906,2699.00,商品名称：荣耀70 Pro&商品编号：100039740906&商品毛重：0.55kg&商品产地：中国大陆&CPU型号：天玑8000&运行内存：12GB&机身颜色：流光水晶&三防标准：不支持防水&充电功率：80-119W&支持IPv6：支持IPv6&屏幕材质：OLED曲面屏&后摄主像素：5400万像素&机身内存：256GB&屏幕分辨率：FHD+&风格：大气，科技，时尚&机身色系：银色系&,http://img11.360buyimg.com/n1/s450x450_jfs/t1/129047/22/29584/38080/63292f16Eb09b3f21/dde8d7d2cdc3b605.jpg,流光水晶,12GB+256GB,荣耀（HONOR）
